Front	Back	SourceURL	Published	PostTitle
"Bregma is the name given to the junction of the :
A. Coronal and sagittal sutures
B. Frontal bone with the nasal bone
C. Lambdoid and sagittal sutures
D. Two parietal bones"	"Answer: A

Coronal and sagittal sutures corresponds to the anatomical landmark or relationship asked. It is the correct match for bregma is the name given to the junction of the. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"'Pterion' is :
A. is a point of articulation of four skull bones
B. is a point where 'bregma' and 'lambda' meet
C. it is the region of the anterolateral fontannele merge
D. lies deep to the zygomatic arch"	"Answer: A

is a point of articulation of four skull bones best fits the anatomical fact tested in the stem. The other options do not satisfy the relationship or definition described."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Lateral part of middle cranial fossa and posterior cranial fossa are divided by :
A. Petrous temporal bone
B. Crista galli
C. Transverse groove
D. Sphenoid bone"	"Answer: A

Petrous temporal bone corresponds to the anatomical landmark or relationship asked. It is the correct match for lateral part of middle cranial fossa and posterior cranial fossa are divided by. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"The maxilla articulates with all of the following bones, except one. Identify the exception.
A. Frontal
B. Zygomatic
C. Palatine
D. Temporal"	"Answer: D

This is an exception-style question. Temporal is the choice that does not fit the group described in the stem. The other options share the common feature being tested."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Highest point on skull :
A. Pterion
B. Pogonion
C. Lambda
D. Vertex"	"Answer: D

Vertex corresponds to the anatomical landmark or relationship asked. It is the correct match for highest point on skull. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Which of the following structures is not present on the internal surface of the mandible ?
A. Genial Tubercle
B. Mylohyoid ridge
C. Lingula
D. Mental foramen"	"Answer: D

This is an exception-style question. Mental foramen is the choice that does not fit the group described in the stem. The other options share the common feature being tested."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Among all the following foramens in the base of the skull, which is the most posteriorly present?
A. Foramen spinosum
B. Foramen rotundum
C. Foramen lacerum
D. Foramen ovale"	"Answer: C

Foramen lacerum corresponds to the anatomical landmark or relationship asked. It is the correct match for among all the following foramens in the base of the skull, which is the most posteriorly present. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Mental foramen is located :
A. Between roots of premolars
B. Between roots of molars
C. Near canine
D. Between incisors"	"Answer: A

Between roots of premolars corresponds to the anatomical landmark or relationship asked. It is the correct match for mental foramen is located. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"The palatine bone furnishes the link between :
A. Maxilla and the sphenoid bone
B. Sphenoid and the ethmoid bone
C. Sphenoid and the vomer
D. None of the above"	"Answer: A

Maxilla and the sphenoid bone corresponds to the anatomical landmark or relationship asked. It is the correct match for the palatine bone furnishes the link between. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Lingula gives attachment to :
A. Upper medial incisor
B. Sphenomandibular ligament
C. Temporomandibular ligament
D. All"	"Answer: B

This tests muscular anatomy or action. Sphenomandibular ligament is the muscle or group that performs the action or attachment in the stem. The remaining options do not match the specified function."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Number of bones in adult skull are :
A. 18
B. 20
C. 22
D. 40"	"Answer: C

22 corresponds to the anatomical landmark or relationship asked. It is the correct match for number of bones in adult skull are. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
